User ID,Longeivity,Length of screen name,Does the profile have a description,Length of the description,Does the profile have a URL,Followee count of the user,Follower count of the user,Followee-by-follower ratio,Klout Score,Total number of tweets,Number of direct mentions per tweet,Number of URLs per tweet,Number of hashtags per tweet,Number of tweets per day,Number of re-tweets per day,Number of re-tweets per tweet,Botometer score,Tweeting likelihood for Monday,Tweeting likelihood for Tuesday,Tweeting likelihood for Wednesday,Tweeting likelihood for Thursday,Tweeting likelihood for Friday,Tweeting likelihood for Saturday,Tweeting likelihood for Sunday,Re-tweeting likelihood for Monday,Re-tweeting likelihood for Tuesday,Re-tweeting likelihood for Wednesday,Re-tweeting likelihood for Thursday,Re-tweeting likelihood for Friday,Re-tweeting likelihood for Saturday,Re-tweeting likelihood for Sunday,Regularity of tweeting activity for Monday,Regularity of tweeting activity for Tuesday,Regularity of tweeting activity for Wednesday,Regularity of tweeting activity for Thursday,Regularity of tweeting activity for Friday,Regularity of tweeting activity for Saturday,Regularity of tweeting activity for Sunday,Regularity of re-tweeting activity for Monday,Regularity of re-tweeting activity for Tuesday,Regularity of re-tweeting activity for Wednesday,Regularity of re-tweeting activity for Thursday,Regularity of re-tweeting activity for Friday,Regularity of re-tweeting activity for Saturday,Regularity of re-tweeting activity for Sunday,Tweet steadiness,Re-tweet steadiness,Maximum tweet likelihood for Monday,Maximum tweet likelihood for Tuesday,Maximum tweet likelihood for Wednesday,Maximum tweet likelihood for Thursday,Maximum tweet likelihood for Friday,Maximum tweet likelihood for Saturday,Maximum tweet likelihood for Sunday,Maximum re-tweet likelihood for Monday,Maximum re-tweet likelihood for Tuesday,Maximum re-tweet likelihood for Wednesday,Maximum re-tweet likelihood for Thursday,Maximum re-tweet likelihood for Friday,Maximum re-tweet likelihood for Saturday,Maximum re-tweet likelihood for Sunday,Standard deviation of retweet counts for all user-generated tweets,Mean of log-time difference between consecutive re-tweets,Standard deviation of log-time difference between consecutive re-tweets,"Annotation (0: Bot, 1: Normal customers, 2: Promotional customers, 3: Genuine users)"
0,206,14,1,157,1,887,653,1.3583460949464012,41.670385816999996,50,0.9,0.06,1.82,0.2427184466019417,4.990291262135922,20.56,0.48,0.12,0.1,0.14,0.22,0.06,0.14,0.22,0.06,0.0,0.02,0.04,0.0,0.0,0.06,-1.3862943611198906,-0.0,-3.2958368660043287,-4.158883083359672,-0.0,-4.68213122712422,-8.317766166719343,-6.068425588244112,0.0,-5.545177444479562,-3.2958368660043287,0.0,0.0,-10.227308671603783,1.5017086976069637e-06,4.974715218484054e-06,0.5454545454545454,0.4545454545454546,0.6363636363636365,1.0,0.2727272727272727,0.6363636363636365,1.0,1.0,0.0,0.33333333333333337,0.6666666666666667,0.0,0.0,1.0,18.97910429920232,0.6935025802276049,0.8521656201383627,1
1,1728,11,1,3,1,1833,2757,0.6648531011969532,55.6956214349,1533,0.3059360730593607,0.9197651663405088,0.4344422700587084,0.8871527777777778,580.8020833333334,654.6810176125243,0.55,0.1395955642530985,0.15851272015655574,0.16960208741030658,0.1258969341161122,0.12263535551206785,0.1095890410958904,0.17416829745596868,0.01304631441617743,0.05283757338551859,0.02935420743639922,0.05283757338551859,0.01304631441617743,0.0045662100456621,0.03783431180691455,-579.3694793504546,-733.6694745907503,-733.0762052269995,-492.94408930810374,-469.8186661581568,-411.5412401818126,-775.3072634160463,-235.35905746371213,-501.41924043248946,-258.34833932049577,-379.07141564292084,-164.95834437638098,-87.77266635994258,-388.49619240066767,4.782401539458501e-06,2.6897964941649707e-07,0.8014981273408239,0.9101123595505618,0.9737827715355806,0.7228464419475655,0.704119850187266,0.6292134831460674,1.0,0.2469135802469136,1.0,0.5555555555555556,1.0,0.2469135802469136,0.08641975308641975,0.7160493827160493,1865.505071615416,0.606332976463475,1.0500958485133636,2
2,271,8,1,25,0,130,16,8.125,46.6028139583,30,0.5333333333333333,0.7666666666666667,1.5666666666666669,0.11070110701107012,72.81549815498154,657.7666666666668,0.58,0.13333333333333333,0.1,0.1,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-3.2958368660043287,-1.3862943611198906,-3.2958368660043287,-30.525578011394305,-8.047189562170503,0.0,0.0,0.0,0.0,0.0,-23.02585092994046,0.0,0.0,0.0,1.1032075078930998e-06,0.04511788347949415,0.26666666666666666,0.2,0.2,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1188.1472322719753,0.4815161082557648,1.2473006339731654,1
3,143,7,1,127,1,261,679,0.38438880706921946,37.7580519748,225,1.0177777777777777,0.2088888888888889,0.2488888888888889,1.573426573426573,221.8601398601399,141.00444444444446,0.55,0.15555555555555556,0.12444444444444445,0.16,0.06666666666666668,0.19111111111111112,0.1955555555555556,0.10666666666666667,0.008888888888888889,0.031111111111111114,0.031111111111111114,0.013333333333333334,0.048888888888888885,0.022222222222222227,0.017777777777777778,-35.09348063738673,-35.616728781151274,-40.978456155457074,-7.4547199493640015,-50.00292053611472,-67.62588076078801,-22.956629460898505,-9.433483923290392,-19.068322982087675,-27.45531061784897,-6.068425588244112,-27.70798215706468,-27.213738050037254,-5.545177444479562,2.58540548546385e-05,2.1246541599349516e-06,0.7954545454545454,0.6363636363636364,0.8181818181818181,0.3409090909090909,0.9772727272727272,1.0,0.5454545454545454,0.1818181818181818,0.6363636363636364,0.6363636363636364,0.2727272727272727,1.0,0.4545454545454545,0.3636363636363636,883.8960647686923,0.3734600863003565,1.2956730786887771,1
4,107,8,1,104,0,482,1299,0.3710546574287914,41.7095734252,1257,1.0612569610182976,0.3747016706443914,1.1209228321400158,11.747663551401871,19776.046728971964,1683.4025457438345,0.6,0.1543357199681782,0.12967382657120127,0.14558472553699284,0.13524264120922833,0.13524264120922833,0.15274463007159905,0.147175815433572,0.1249005568814638,0.11694510739856802,0.12330946698488465,0.12012728719172633,0.12092283214001592,0.1280827366746221,0.10978520286396183,-809.0071036982782,-774.9728655968089,-767.3639267536718,-623.3289045169106,-611.9936362491671,-641.2258455432631,-614.2399381087108,-825.1566631697333,-774.3391332001669,-759.9988199464882,-636.7302123726739,-628.1240636229936,-617.497554355946,-533.8816588374873,0.013465955773038852,0.06142400694830371,1.0,0.8402061855670102,0.9432989690721648,0.8762886597938144,0.8762886597938144,0.9896907216494844,0.9536082474226804,0.9751552795031057,0.9130434782608696,0.9627329192546584,0.9378881987577641,0.9440993788819876,1.0,0.8571428571428572,2483.5147864989317,0.7479473718323378,1.050849063512958,2
5,2214,15,1,136,0,622,212,2.9339622641509435,25.766399472800003,2955,0.9333333333333332,0.03553299492385787,0.4825719120135364,1.334688346883469,24208.763324299907,18138.13942470389,0.08,0.15465313028764804,0.12927241962774955,0.14416243654822336,0.15939086294416244,0.16785109983079527,0.10558375634517768,0.13908629441624365,0.12081218274111676,0.10186125211505924,0.10558375634517768,0.127580372250423,0.12791878172588833,0.0805414551607445,0.09949238578680204,-1524.841913793558,-1185.1486429135139,-1340.2000517540985,-1602.4206534746775,-1651.3196117700274,-898.707190743995,-1304.7476811252766,-1572.5071305591657,-1197.7920759261654,-1372.752346477456,-1628.2727739543616,-1697.6467451380838,-953.8679994954483,-1253.350843079096,1.4392161399373779e-05,1.4300944420385702e-05,0.9213709677419354,0.7701612903225806,0.8588709677419355,0.9495967741935484,1.0,0.6290322580645161,0.8286290322580645,0.9444444444444444,0.7962962962962963,0.8253968253968254,0.9973544973544972,1.0,0.6296296296296295,0.7777777777777777,81913.23728331711,2.0547808142179,2.8342925335738403,2
6,100,13,1,0,0,41,2,20.5,36.4809838794,18,4.4444444444444455,1.0,0.0,0.18,0.76,4.222222222222221,0.52,0.0,0.0,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-38.88951909147954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79624006529276e-05,0.0,0.0,0.0,0.05882352941176471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.768864551837876,0.0,0.0,1
7,1415,11,1,45,1,267,2355,0.11337579617834395,48.5650411405,1044,2.53352490421456,0.9971264367816092,2.5651340996168583,0.7378091872791519,0.7604240282685513,1.0306513409961686,0.54,0.14655172413793102,0.1532567049808429,0.19636015325670494,0.19923371647509575,0.1724137931034483,0.08620689655172414,0.045977011494252866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.77462169361087,-453.01228179114435,-593.585931076542,-599.0699340842315,-499.18867432064513,-187.43212728697182,-77.34104026003124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219267682817864e-07,0.0,0.735576923076923,0.7692307692307693,0.9855769230769232,1.0,0.8653846153846155,0.43269230769230776,0.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134495610050188,0.09954480294841224,0.3235415319413951,1
8,719,12,1,81,1,64,1919,0.03335070349140177,42.632214968,862,0.07076566125290024,0.8944315545243621,5.0116009280742455,1.1988873435326843,13.858136300417248,11.559164733178653,0.47,0.12180974477958235,0.1716937354988399,0.2888631090487239,0.16009280742459395,0.2552204176334107,0.002320185614849188,0.0,0.0034802784222737818,0.006960556844547564,0.0058004640371229705,0.0058004640371229705,0.006960556844547564,0.0,0.0,-304.18451732220933,-448.27424119109116,-968.9466582249116,-430.75618673599513,-726.536922709625,-1.3862943611198906,0.0,-45.747713916956386,-72.18363031403297,-282.30085224633035,-120.74449978655672,-304.82546034172384,0.0,0.0,2.6657476815950227e-05,4.236952089337565e-06,0.4216867469879518,0.5943775100401606,1.0,0.5542168674698795,0.8835341365461847,0.008032128514056224,0.0,0.5,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0,103.86467459855992,0.17650013269821296,0.7310421237154059,1
9,1764,10,1,132,1,1258,348,3.614942528735632,43.391138766400005,3083,0.6308790139474538,0.8712293220888745,1.102821926694778,1.747732426303855,362.97392290249434,207.68277651638016,0.38,0.15277327278624714,0.19039896204995133,0.16120661693156016,0.11579630230295168,0.0943885825494648,0.14433992864093415,0.1410963347388907,0.07168342523516055,0.07265650340577359,0.06779111255270841,0.0502757054816737,0.041193642555952,0.0635744404800519,0.060330846578008426,-1640.2800036729413,-2254.5620604330256,-1729.4238614921862,-1236.9494011943366,-880.4425164709443,-1598.9659699578506,-1467.2478646129068,-1439.330258887192,-1838.3231480306692,-1379.6140825279126,-1015.1713671386605,-618.2918879154943,-1335.9075913440424,-1180.6429618782765,5.111915808511074e-07,3.431066464157063e-07,0.8023850085178875,1.0,0.8466780238500851,0.6081771720613287,0.4957410562180579,0.7580919931856899,0.7410562180579215,0.9866071428571428,1.0,0.9330357142857144,0.6919642857142858,0.5669642857142858,0.875,0.8303571428571429,4365.238974945867,0.4270282569352362,0.9687384658331132,2
