User ID,Longeivity,Length of screen name,Does the profile have a description,Length of the description,Does the profile have a URL,Followee count of the user,Follower count of the user,Followee-by-follower ratio,Klout Score,Total number of tweets,Number of direct mentions per tweet,Number of URLs per tweet,Number of hashtags per tweet,Number of tweets per day,Number of re-tweets per day,Number of re-tweets per tweet,Botometer score,Tweeting likelihood for Monday,Tweeting likelihood for Tuesday,Tweeting likelihood for Wednesday,Tweeting likelihood for Thursday,Tweeting likelihood for Friday,Tweeting likelihood for Saturday,Tweeting likelihood for Sunday,Re-tweeting likelihood for Monday,Re-tweeting likelihood for Tuesday,Re-tweeting likelihood for Wednesday,Re-tweeting likelihood for Thursday,Re-tweeting likelihood for Friday,Re-tweeting likelihood for Saturday,Re-tweeting likelihood for Sunday,Regularity of tweeting activity for Monday,Regularity of tweeting activity for Tuesday,Regularity of tweeting activity for Wednesday,Regularity of tweeting activity for Thursday,Regularity of tweeting activity for Friday,Regularity of tweeting activity for Saturday,Regularity of tweeting activity for Sunday,Regularity of re-tweeting activity for Monday,Regularity of re-tweeting activity for Tuesday,Regularity of re-tweeting activity for Wednesday,Regularity of re-tweeting activity for Thursday,Regularity of re-tweeting activity for Friday,Regularity of re-tweeting activity for Saturday,Regularity of re-tweeting activity for Sunday,Tweet steadiness,Re-tweet steadiness,Maximum tweet likelihood for Monday,Maximum tweet likelihood for Tuesday,Maximum tweet likelihood for Wednesday,Maximum tweet likelihood for Thursday,Maximum tweet likelihood for Friday,Maximum tweet likelihood for Saturday,Maximum tweet likelihood for Sunday,Maximum re-tweet likelihood for Monday,Maximum re-tweet likelihood for Tuesday,Maximum re-tweet likelihood for Wednesday,Maximum re-tweet likelihood for Thursday,Maximum re-tweet likelihood for Friday,Maximum re-tweet likelihood for Saturday,Maximum re-tweet likelihood for Sunday,Standard deviation of retweet counts for all user-generated tweets,Mean of log-time difference between consecutive re-tweets,Standard deviation of log-time difference between consecutive re-tweets,"Annotation (0: Bot, 1: Normal customers, 2: Promotional customers, 3: Genuine users)"
0,206,14,1,157,1,887,653,1.3583460949464,41.670385816999996,50,0.9,0.06,1.82,0.242718446601942,4.99029126213592,20.56,0.48,0.12,0.1,0.14,0.22,0.06,0.14,0.22,0.06,0.0,0.02,0.04,0.0,0.0,0.06,-1.38629436111989,0.0,-3.29583686600433,-4.15888308335967,0.0,-4.68213122712422,-8.31776616671934,-6.0684255882441125,0.0,-5.54517744447956,-3.29583686600433,0.0,0.0,-10.2273086716038,1.50170869760696e-06,4.97471521848405e-06,0.545454545454545,0.45454545454545503,0.6363636363636359,1.0,0.272727272727273,0.6363636363636359,1.0,1.0,0.0,0.33333333333333304,0.666666666666667,0.0,0.0,1.0,18.9791042992023,0.6935025802276049,0.852165620138363,1
1,1728,11,1,3,1,1833,2757,0.664853101196953,55.6956214349,1533,0.305936073059361,0.9197651663405092,0.43444227005870795,0.8871527777777779,580.802083333333,654.681017612524,0.55,0.139595564253099,0.158512720156556,0.169602087410307,0.125896934116112,0.12263535551206801,0.10958904109588999,0.174168297455969,0.013046314416178002,0.052837573385519004,0.029354207436399,0.052837573385519004,0.013046314416178002,0.004566210045662,0.037834311806915,-579.369479350455,-733.6694745907498,-733.076205226999,-492.944089308104,-469.818666158157,-411.54124018181295,-775.307263416046,-235.359057463712,-501.41924043249,-258.348339320496,-379.071415642921,-164.958344376381,-87.77266635994259,-388.496192400668,4.7824015394585e-06,2.6897964941649697e-07,0.8014981273408242,0.910112359550562,0.9737827715355808,0.722846441947566,0.704119850187266,0.6292134831460671,1.0,0.24691358024691396,1.0,0.555555555555556,1.0,0.24691358024691396,0.08641975308642,0.7160493827160491,1865.5050716154199,0.606332976463475,1.05009584851336,2
2,271,8,1,25,0,130,16,8.125,46.6028139583,30,0.5333333333333329,0.766666666666667,1.5666666666666698,0.11070110701107001,72.8154981549815,657.766666666667,0.58,0.133333333333333,0.1,0.1,0.5,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-3.29583686600433,-1.38629436111989,-3.29583686600433,-30.525578011394305,-8.0471895621705,0.0,0.0,0.0,0.0,0.0,-23.0258509299405,0.0,0.0,0.0,1.1032075078931002e-06,0.045117883479494005,0.266666666666667,0.2,0.2,1.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1188.14723227198,0.481516108255765,1.2473006339731698,1
3,143,7,1,127,1,261,679,0.38438880706921896,37.7580519748,225,1.01777777777778,0.20888888888888896,0.248888888888889,1.57342657342657,221.86013986014,141.004444444444,0.55,0.155555555555556,0.124444444444444,0.16,0.066666666666667,0.191111111111111,0.19555555555555604,0.10666666666666699,0.008888888888889,0.031111111111111,0.031111111111111,0.013333333333333,0.04888888888888901,0.022222222222222,0.017777777777778,-35.0934806373867,-35.61672878115129,-40.9784561554571,-7.454719949364001,-50.0029205361147,-67.62588076078801,-22.9566294608985,-9.43348392329039,-19.0683229820877,-27.455310617849,-6.0684255882441125,-27.7079821570647,-27.213738050037303,-5.54517744447956,2.58540548546385e-05,2.12465415993495e-06,0.795454545454545,0.6363636363636359,0.818181818181818,0.340909090909091,0.9772727272727272,1.0,0.545454545454545,0.18181818181818202,0.6363636363636359,0.6363636363636359,0.272727272727273,1.0,0.45454545454545403,0.36363636363636404,883.896064768692,0.37346008630035604,1.29567307868878,1
4,107,8,1,104,0,482,1299,0.371054657428791,41.7095734252,1257,1.0612569610183,0.37470167064439097,1.12092283214002,11.747663551401901,19776.046728972,1683.40254574383,0.6,0.15433571996817802,0.129673826571201,0.145584725536993,0.13524264120922802,0.13524264120922802,0.152744630071599,0.147175815433572,0.12490055688146401,0.116945107398568,0.123309466984885,0.12012728719172601,0.12092283214001599,0.128082736674622,0.109785202863962,-809.007103698278,-774.9728655968089,-767.363926753672,-623.328904516911,-611.993636249167,-641.2258455432631,-614.239938108711,-825.156663169733,-774.3391332001669,-759.9988199464882,-636.730212372674,-628.124063622994,-617.497554355946,-533.8816588374871,0.013465955773038999,0.061424006948304,1.0,0.8402061855670101,0.943298969072165,0.8762886597938141,0.8762886597938141,0.989690721649484,0.9536082474226801,0.975155279503105,0.91304347826087,0.9627329192546579,0.9378881987577641,0.9440993788819879,1.0,0.857142857142857,2483.51478649893,0.747947371832338,1.05084906351296,2
5,2214,15,1,136,0,622,212,2.93396226415094,25.766399472800003,2955,0.933333333333333,0.035532994923858,0.482571912013536,1.33468834688347,24208.763324299904,18138.1394247039,0.08,0.15465313028764802,0.12927241962775,0.14416243654822306,0.159390862944162,0.167851099830795,0.105583756345178,0.139086294416244,0.12081218274111699,0.10186125211505903,0.105583756345178,0.127580372250423,0.127918781725888,0.08054145516074497,0.09949238578680199,-1524.8419137935598,-1185.14864291351,-1340.2000517541,-1602.4206534746802,-1651.3196117700302,-898.707190743995,-1304.7476811252802,-1572.5071305591696,-1197.79207592617,-1372.75234647746,-1628.27277395436,-1697.6467451380802,-953.867999495448,-1253.3508430791,1.4392161399373801e-05,1.43009444203857e-05,0.921370967741935,0.770161290322581,0.858870967741935,0.9495967741935479,1.0,0.629032258064516,0.8286290322580642,0.944444444444444,0.796296296296296,0.8253968253968249,0.997354497354497,1.0,0.62962962962963,0.7777777777777779,81913.2372833171,2.0547808142179,2.83429253357384,2
6,100,13,1,0,0,41,2,20.5,36.4809838794,18,4.44444444444445,1.0,0.0,0.18,0.76,4.2222222222222205,0.52,0.0,0.0,0.055555555555556,0.944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.8895190914795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79624006529276e-05,0.0,0.0,0.0,0.058823529411765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7688645518379,0.0,0.0,1
7,1415,11,1,45,1,267,2355,0.11337579617834401,48.5650411405,1044,2.53352490421456,0.9971264367816092,2.5651340996168597,0.737809187279152,0.7604240282685509,1.03065134099617,0.54,0.146551724137931,0.153256704980843,0.196360153256705,0.19923371647509602,0.172413793103448,0.086206896551724,0.045977011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.774621693611,-453.012281791144,-593.585931076542,-599.069934084231,-499.1886743206449,-187.43212728697202,-77.3410402600312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52192676828179e-07,0.0,0.735576923076923,0.7692307692307689,0.985576923076923,1.0,0.865384615384616,0.432692307692308,0.23076923076923106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134495610050191,0.09954480294841198,0.323541531941395,1
8,719,12,1,81,1,64,1919,0.033350703491402,42.632214968,862,0.07076566125289999,0.8944315545243621,5.01160092807425,1.19888734353268,13.858136300417199,11.559164733178699,0.47,0.12180974477958198,0.17169373549883998,0.288863109048724,0.160092807424594,0.255220417633411,0.002320185614849,0.0,0.003480278422274,0.006960556844548,0.005800464037123,0.005800464037123,0.006960556844548,0.0,0.0,-304.184517322209,-448.274241191091,-968.946658224912,-430.756186735995,-726.536922709625,-1.38629436111989,0.0,-45.747713916956386,-72.183630314033,-282.30085224633,-120.744499786557,-304.825460341724,0.0,0.0,2.6657476815950197e-05,4.23695208933757e-06,0.421686746987952,0.594377510040161,1.0,0.55421686746988,0.8835341365461851,0.008032128514056,0.0,0.5,1.0,0.833333333333333,0.833333333333333,1.0,0.0,0.0,103.86467459856001,0.17650013269821302,0.7310421237154059,1
9,1764,10,1,132,1,1258,348,3.61494252873563,43.391138766400005,3083,0.6308790139474539,0.8712293220888739,1.10282192669478,1.7477324263038605,362.973922902494,207.68277651638002,0.38,0.15277327278624694,0.19039896204995105,0.16120661693156,0.115796302302952,0.094388582549465,0.14433992864093398,0.141096334738891,0.071683425235161,0.07265650340577401,0.06779111255270903,0.050275705481674,0.041193642555952,0.063574440480052,0.060330846578008995,-1640.28000367294,-2254.56206043303,-1729.4238614921899,-1236.94940119434,-880.442516470944,-1598.9659699578501,-1467.2478646129098,-1439.33025888719,-1838.32314803067,-1379.6140825279099,-1015.17136713866,-618.291887915494,-1335.9075913440402,-1180.64296187828,5.111915808511078e-07,3.43106646415706e-07,0.8023850085178879,1.0,0.846678023850085,0.6081771720613289,0.49574105621805803,0.7580919931856899,0.7410562180579209,0.986607142857143,1.0,0.9330357142857142,0.6919642857142859,0.566964285714286,0.875,0.830357142857143,4365.238974945871,0.427028256935236,0.9687384658331128,2
